ONS code,Area,01/11/2004,10/10/2005,09/10/2006,08/10/2007,06/10/2008,05/10/2009,04/10/2010,03/10/2011,01/10/2012,07/10/2013,06/10/2014,05/10/2015,03/10/2016,02/10/2017,01/10/2018,07/10/2019,05/10/2020,04/10/2021,03/10/2022,02/10/2023,07/10/2024
E92000001,England,"318,642","313,616","314,719","314,285","326,954","316,251","299,999","277,529","254,059","216,050","205,821","203,596","200,145","205,293","216,186","225,845","268,385","237,340","248,149","261,474","264,884"
E12000001,North East,"21,599","21,473","21,886","21,583","22,531","20,183","20,337","19,924","18,311","15,811","16,052","16,030","16,328","17,106","16,979","18,154","20,780","17,541","17,804","18,156","16,979"
E07000157,Alnwick,264,314,696,367,387,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000158,Berwick-upon-Tweed,355,372,369,370,391,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000159,Blyth Valley,277,333,395,366,398,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000160,Castle Morpeth,434,476,308,236,334,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000054,Chester-le-Street,289,233,275,254,291,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E06000047,County Durham,[x],[x],[x],[x],[x],"4,537","4,735","5,235","4,466","3,843","4,433","4,808","4,459","4,539","4,130","4,209","4,644","3,900","4,112","4,279","4,090"
E06000005,Darlington,741,757,849,780,"1,061",887,960,943,933,700,587,540,572,542,592,651,697,539,623,677,666
E07000055,Derwentside,656,796,829,856,"1,086",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000056,Durham,747,809,"1,483","1,067","1,461",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000057,Easington,830,713,751,791,882,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
