ONS code,Area,01/11/2004,10/10/2005,09/10/2006,08/10/2007,06/10/2008,05/10/2009,04/10/2010,03/10/2011,01/10/2012,07/10/2013,06/10/2014,05/10/2015,03/10/2016,02/10/2017,01/10/2018,07/10/2019,05/10/2020,04/10/2021,03/10/2022,02/10/2023,07/10/2024
E92000001,England,"710,935","723,509","744,931","763,319","783,119","770,496","737,147","719,352","704,357","635,127","610,123","600,179","589,766","605,891","634,453","648,114","665,628","653,025","676,304","699,126","719,470"
E12000001,North East,"45,732","47,598","48,287","48,099","50,375","47,243","46,399","45,269","44,674","40,411","40,708","40,784","40,579","43,617","44,672","44,566","43,735","40,899","41,596","41,998","42,617"
E07000157,Alnwick,571,635,"1,064",742,790,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000158,Berwick-upon-Tweed,614,651,674,669,686,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000159,Blyth Valley,789,860,888,"1,018","1,107",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000160,Castle Morpeth,774,847,735,696,"1,085",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000054,Chester-le-Street,582,578,721,704,823,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E06000047,County Durham,[x],[x],[x],[x],[x],"10,156","9,925","10,416","9,999","9,659","10,163","10,267","9,649","10,026","9,807","9,451","8,961","8,380","8,991","9,134","9,023"
E06000005,Darlington,"1,660","1,756","1,735","1,735","1,964","1,776","1,853","1,933","1,953","1,758","1,637","1,688","1,556","1,592","1,743","1,787","1,655","1,544","1,763","1,765","1,921"
E07000055,Derwentside,"1,669","1,653","1,805","1,888","2,206",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000056,Durham,"1,282","1,479","2,135","1,736","2,279",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000057,Easington,"1,880","1,822","1,928","1,933","1,991",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E08000037,Gateshead,"5,488","6,162","5,180","4,989","5,715","5,583","5,506","4,426","4,836","3,772","3,217","2,827","2,833","2,992","3,181","3,310","3,251","3,069","3,182","3,162","3,147"
E06000001,Hartlepool,"1,925","1,846","1,925","1,725","1,808","1,879","1,889","1,986","1,976","1,513","1,554","1,718","1,769","1,905","2,019","2,078","2,098","1,765","1,763","1,801","1,932"
E06000002,Middlesbrough,"2,833","2,497","2,728","2,779","2,716","2,428","2,401","2,512","2,560","2,246","2,328","2,361","2,504","2,842","2,581","2,727","2,873","2,879","2,679","2,819","3,030"
E08000021,Newcastle upon Tyne,"6,141","5,838","5,595","5,710","4,811","4,385","3,899","3,771","3,119","2,606","2,797","2,824","3,064","3,909","4,569","4,038","4,401","4,159","3,929","3,861","4,123"
